id,time,msg,res
60801900,13.34778881,no report,0
60766775,1.868174791,"	Batch 0 layer 4: Vanishing Gradient Problem in delta Weights, terminating training		 --- 1.8167181015014648 seconds ---		 Learning Rate 	",0
60574843,179.4927554,no report,0
60508218,497.7747216,no report,0
60355380,2.079132795,"	Batch 0 layer 13: Numerical Error in delta Weights, terminating training		 --- 1.9995677471160889 seconds ---	",1
59758722,2.812558413,no report,0
59278771,0.510204554,no report,0
59078187,,crash,0
58844149,27.72922826,"	Batch 0: Invalid accuracy, terminating training		 --- 27.430158615112305 seconds ---	 	 Please change the activation function at layer : 9 	",1
58609115,3.697431803,"	Batch 0 layer 2: Numerical Error in delta Weights, terminating training		 --- 3.6406455039978027 seconds ---	",1
58572274,2.749866962,no report,0
58392266,,crash,0
58333926,940.7809401,no report,0
58064701,6.528842211,no report,0
58055105,1.423125029,"	Batch 0 layer 2: Numerical Error in delta Weights, terminating training		 --- 1.3218109607696533 seconds ---	",1
58051767,1.903847933,"	Batch 0: Invalid accuracy, terminating training		 --- 1.4883551597595215 seconds ---	 	 Please change the activation function at layer : 2 	",1
58043002,18.45417953,"	Batch 4 layer 5: Unchange Tensor  in Weights, terminating training		 --- 18.347309112548828 seconds ---	 	 Learning Rate 	",0
57943425,,crash,0
57516678,,crash,0
57407973,54.42683911,no report,0
57397440,5.53545785,"	Batch 0 layer 4: Numerical Error in delta Weights, terminating training		 --- 5.4042744636535645 seconds ---	",1
57326611,,crash,0
56774954,1.818587542,"	Batch 4 layer 0: Unchange Tensor in forward, terminating training		 --- 1.7195098400115967 seconds ---	 	 Learning Rate 	",0
56452176,0.552949905,"	 Batch 0 layer 2: Numerical Problem Forward, terminating training 		 --- 0.49906086921691895 seconds ---		 Normalize the data 	",1
56218256,,crash,0
55198221,39.04637337,no report,0
54811239,7.176670551,no report,0
54738769,1.044335604,"	Batch 0 layer 6: Numerical Error in delta Weights, terminating training		 --- 0.9573535919189453 seconds ---	",1
54282951,63.7146666,"	Batch 0 layer 4:  Out of Rang Problem, terminating training		 --- 63.48596549034119 seconds ---	 	 change the activation function to softmax 	",1
54064299,80.85803127,"	 Batch 5 layer 2: Numerical Problem Forward, terminating training 		 --- 80.71096014976501 seconds ---		 Normalize the data 	",0
53749895,5.92386961,"	Batch 2 layer 2: Numerical Error in delta Weights, terminating training		 --- 5.8671674728393555 seconds ---	",1
53700537,1.312120199,"	Batch 0 layer 6: Numerical Error in delta Weights, terminating training		 --- 1.2229833602905273 seconds ---	",1
52983831,3.630503416,"	Batch 0 layer 2: Numerical Error in delta Weights, terminating training		 --- 3.530324935913086 seconds ---	",1
52566823,22.91710448,no report,0
51930566,12.75097632,no report,0
51901386,197.9095132,no report,0
51749207,1.51006794,"	Batch 0 layer 5: Numerical Error in delta Weights, terminating training		 --- 1.4211490154266357 seconds ---	",1
51581521,,crash,0
51185079,1.456922054,no report,0
50914860,13.52905512,"	Batch 0 layer 6: Numerical Error in delta Weights, terminating training		 --- 13.356487035751343 seconds ---	",1
50555434,5.347361803,no report,0
50338865,21.54090023,"	Batch 9 layer 2: Numerical Error in delta Weights, terminating training		 --- 21.42079472541809 seconds ---	",1
50079585,,crash,0
49583466,3.637362957,no report,0
48976413,0.792761803,"	Batch 0: Invalid accuracy, terminating training		 --- 0.7173168659210205 seconds ---	 	 Please change the activation function at layer : 2 	",1
48486598,,crash,0
48385830,,crash,0
48251943,132.3900568,no report,0
48221692,0.430415392,"	Batch 0: Invalid accuracy, terminating training		 --- 0.3401613235473633 seconds ---	 	 Please change the activation function at layer : 1 	",1
47735201,79.9371109,"	Batch 4 layer 0: Unchange Tensor in forward, terminating training		 --- 79.7078857421875 seconds ---	 	 Learning Rate 	",0
47704695,10.6433754,"	Batch 0 layer 22: Numerical Error in delta Weights, terminating training		 --- 10.47477412223816 seconds ---	",1
47352366,211.3586571,"	Batch 0 layer 9:  Out of Rang Problem, terminating training		 --- 211.2423014640808 seconds ---	 	 change the activation function to softmax 	",1
47241622,44.64395809,"	Batch 0 layer 1: Numerical Error in delta Weights, terminating training		 --- 44.5638689994812 seconds ---	",1
46995209,,crash,0
46869312,1.249418736,"	Batch 0: Invalid accuracy, terminating training		 --- 1.1910185813903809 seconds ---	 	 Please change the activation function at layer : 2 	",1
46642627,,crash,0
46247619,,crash,0
45378493,3.36099124,"	Batch 0 layer 12: Numerical Error in delta Weights, terminating training		 --- 3.2574572563171387 seconds ---	",1
45337371,0.819824457,"	Batch 0 layer 2: Numerical Error in delta Weights, terminating training		 --- 0.7356696128845215 seconds ---	",1
44758894,1.353816748,no report,0
44755431,103.4117563,no report,0
44066044,43.00952792,no report,0
43055289,4.386551619,no report,0
42800203,,crash,0
42514960,0.983604193,"	 Batch 0 layer 4: Numerical Problem Forward, terminating training 		 --- 0.9090173244476318 seconds ---		Learning Rate 	",1
42472447,12.26801538,no report,0
41999686,4.592773199,no report,0
41823068,18.61452293,no report,0
41600519,64.62911868,no report,0
41596619,0.484161377,"	Batch 0: Invalid accuracy, terminating training		 --- 0.4100322723388672 seconds ---	 	 Please change the activation function at layer : 1 	",1
34673164,8.236189842,no report,0
34311586,0.478179693,"	Batch 0 layer 2: Numerical Error in delta Weights, terminating training		 --- 0.407667875289917 seconds ---	",1
33969059,2.867497206,"	Batch 0: Invalid accuracy, terminating training		 --- 2.786243438720703 seconds ---	 	 Please change the activation function at layer : 4 	",1
31880720,1.660734892,"	Batch 0 layer 6: Numerical Error in delta Weights, terminating training		 --- 1.5827443599700928 seconds ---		 Please change the loss function 	 OR Please change the activaton function at layer: 7 	",0
31627380,,crash,0
