url,id,is_classification,groundtruth,error_type
https://stackoverflow.com/questions/51930566,51930566,1,1,1
https://stackoverflow.com/questions/51901386,51901386,1,15,1
https://stackoverflow.com/questions/51749207,51749207,1,5,1
https://stackoverflow.com/questions/51581521,51581521,1,21,1
https://stackoverflow.com/questions/51185079,51185079,1,5,1
https://stackoverflow.com/questions/50914860,50914860,1,6,1
https://stackoverflow.com/questions/50555434,50555434,0,3,1
https://stackoverflow.com/questions/50338865,50338865,1,2,1
https://stackoverflow.com/questions/50079585,50079585,1,9,3
https://stackoverflow.com/questions/49583466,49583466,0,"0,1,2",2
https://stackoverflow.com/questions/48976413,48976413,0,2,1
https://stackoverflow.com/questions/48486598,48486598,0,1,1
https://stackoverflow.com/questions/48385830,48385830,1,"0,1",1
https://stackoverflow.com/questions/48251943,48251943,0,1,1
https://stackoverflow.com/questions/48221692,48221692,0,1,1
https://stackoverflow.com/questions/47735201,47735201,1,12,1
https://stackoverflow.com/questions/47704695,47704695,1,22,1
https://stackoverflow.com/questions/47352366,47352366,1,9,1
https://stackoverflow.com/questions/47241622,47241622,1,1,1
https://stackoverflow.com/questions/46995209,46995209,0,"0,1,2,3,4,5,6,7,8,9,10",1
https://stackoverflow.com/questions/46869312,46869312,0,2,1
https://stackoverflow.com/questions/46642627,46642627,0,2,1
https://stackoverflow.com/questions/46247619,46247619,0,7,1
https://stackoverflow.com/questions/45378493,45378493,1,12,1
https://stackoverflow.com/questions/45337371,45337371,1,2,1
https://stackoverflow.com/questions/44758894,44758894,1,4,1
https://stackoverflow.com/questions/44755431,44755431,1,13,4
https://stackoverflow.com/questions/44066044,44066044,1,2,1
https://stackoverflow.com/questions/43055289,43055289,1,3,4
https://stackoverflow.com/questions/42800203,42800203,1,2,1
https://stackoverflow.com/questions/42514960,42514960,0,"0,1,2,3,4,5",1
https://stackoverflow.com/questions/42472447,42472447,1,4,1
https://stackoverflow.com/questions/41999686,41999686,1,10,1
https://stackoverflow.com/questions/41823068,41823068,1,3,1
https://stackoverflow.com/questions/41600519,41600519,1,"0,2,4",3
https://stackoverflow.com/questions/41596619,41596619,1,1,1
https://stackoverflow.com/questions/34673164,34673164,1,4,1
https://stackoverflow.com/questions/34311586,34311586,1,2,1
https://stackoverflow.com/questions/33969059,33969059,0,4,1
https://stackoverflow.com/questions/31880720,31880720,1,7,1
https://stackoverflow.com/questions/31627380,31627380,1,2,3
https://stackoverflow.com/questions/78061528,78061528,1,2,3
https://stackoverflow.com/questions/73997809,73997809,0,3,1
https://stackoverflow.com/questions/72336254,72336254,0,3,1
https://stackoverflow.com/questions/67730059,67730059,0,4,1
https://stackoverflow.com/questions/55536102,55536102,0,3,1
https://github.com/ulmefors/Traffic-Sign-Classifier/commit/e6a48ce,26,1,"1,2,3",1
https://github.com/DanilaEremenko/NeuralNetwork/commit/eba6bed,46,1,1,1
https://github.com/dbczumar/mlflow-keras-mnist/commit/b29cab7,41,1,6,4
https://github.com/vmelan/cifar-experiment/commit/561c82e,63,1,2,3
https://github.com/AlexGidiotis/Keras-tutorial-on-CNNs/commit/b5acb01,48,1,"0,1",3
https://stackoverflow.com/questions/69144854,69144854,0,"0,2,4,6",3
https://stackoverflow.com/questions/68087196,68087196,1,13,1
https://stackoverflow.com/questions/67396593,67396593,1,3,1
https://stackoverflow.com/questions/66288253,66288253,1,"0,1,2,3,5,6,7,9,10,11,13",2
https://stackoverflow.com/questions/65599903,65599903,1,2,1
https://stackoverflow.com/questions/65208382,65208382,1,2,1
https://stackoverflow.com/questions/64446561,64446561,1,"0,1",3
https://stackoverflow.com/questions/64188884,64188884,1,"1,3,5,7",2
https://stackoverflow.com/questions/64151679,64151679,1,9,1
https://stackoverflow.com/questions/63532837,63532837,1,4,1
https://stackoverflow.com/questions/63242449,63242449,1,1,1
https://stackoverflow.com/questions/61294801,61294801,1,"0,1,2,3,4",1
https://stackoverflow.com/questions/60267894,60267894,0,2,1
https://stackoverflow.com/questions/59837926,59837926,0,2,1
https://stackoverflow.com/questions/59740444,59740444,1,10,1
https://stackoverflow.com/questions/59138513,59138513,1,3,1
https://stackoverflow.com/questions/58847723,58847723,0,3,1
https://stackoverflow.com/questions/58508286,58508286,0,2,1
https://stackoverflow.com/questions/58083502,58083502,1,"2,4",1
https://stackoverflow.com/questions/56545687,56545687,1,6,1
https://stackoverflow.com/questions/54231049,54231049,0,"0,1,3",1
https://stackoverflow.com/questions/53876097,53876097,1,5,1
https://stackoverflow.com/questions/53374114,53374114,1,0,2
https://stackoverflow.com/questions/53177605,53177605,1,"0,1,2",2
https://stackoverflow.com/questions/52929868,52929868,1,3,1
https://stackoverflow.com/questions/52445293,52445293,0,"0,1,3,4",3
https://stackoverflow.com/questions/51931932,51931932,0,2,1
https://stackoverflow.com/questions/51312608,51312608,1,1,1
https://stackoverflow.com/questions/43476631,43476631,1,1,1
https://stackoverflow.com/questions/42293600,42293600,1,4,4
